index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(0,)",(-0.006944614557068223+0.006679275963334901j),(0.0031658047776023674+0.0008975555245046985j),(-0.0002602417394577119+0.00342829550045362j),(0.0009139947601012174-0.001579079463014498j),(-0.0011584572191232468+0.0015374875779947859j),(-0.0010663051898047603+0.0004177873604012525j),(-0.006851465591675918+0.010173121795217684j),(-0.012228729795271384-0.0015220003504614853j),(-5.914573850470031e-05-0.01484534811382913j),(0.02260396465964329+0.0011195921586126091j)
"(1,)",(0.0031658047776023674+0.0008975555245046985j),(-0.008244131804500062+0.0017195397754427655j),(-0.0010318107153234396+0.0026108610134480707j),(0.0012358654301940037-0.011585532077638253j),(-0.009719837074904045-0.0025005841918483876j),(-0.006017331859432662+0.007952235378989857j),(-0.00152672894831799+0.0007165198571231083j),(-0.0004523267460665647-4.6622162885015455e-05j),(0.00018034948566828486-0.001096007796008734j),(0.001997027931690768-0.0038628943253753165j)
"(2,)",(-0.0002602417394577119+0.00342829550045362j),(-0.0010318107153234396+0.0026108610134480707j),(-0.00805337511879725+0.001560137781415641j),(-0.0010403163057739887+0.002608228781290037j),(-0.004486181514943956-0.012019880838145675j),(-0.009719837074903983-0.002500584191848549j),(-0.00045232674606658993-4.66221628849957e-05j),(-0.0013950098389864617-0.0009226897897022168j),(0.0048263710146782025-0.005921632531376865j),(0.0035758650296368604+0.010137446600547698j)
"(3,)",(0.0009139947601012174-0.001579079463014498j),(0.0012358654301940037-0.011585532077638253j),(-0.0010403163057739887+0.002608228781290037j),(-0.008053375118797248+0.0015601377814156421j),(-0.0010403163057739852+0.00260822878129004j),(0.0012358654301939883-0.011585532077638265j),(0.00018034948566825532-0.0010960077960086956j),(0.004826371014678126-0.005921632531376887j),(0.003575865029636882+0.010137446600547705j),(0.004826371014678279-0.005921632531376774j)
"(4,)",(-0.0011584572191232468+0.0015374875779947859j),(-0.009719837074904045-0.0025005841918483876j),(-0.004486181514943956-0.012019880838145675j),(-0.0010403163057739852+0.00260822878129004j),(-0.008053375118797248+0.0015601377814156412j),(-0.0010318107153234393+0.0026108610134480594j),(0.0019970279316908457-0.0038628943253753594j),(0.0035758650296368708+0.010137446600547703j),(0.004826371014678051-0.005921632531376917j),(-0.0013950098389864203-0.0009226897897022975j)
"(5,)",(-0.0010663051898047603+0.0004177873604012525j),(-0.006017331859432662+0.007952235378989857j),(-0.009719837074903983-0.002500584191848549j),(0.0012358654301939883-0.011585532077638265j),(-0.0010318107153234393+0.0026108610134480594j),(-0.008244131804500053+0.0017195397754427378j),(0.003463141007975235+0.0019796964751871947j),(0.001997027931690861-0.00386289432537531j),(0.0001803494856682252-0.0010960077960087123j),(-0.0004523267460666181-4.6622162885043895e-05j)
"(6,)",(-0.006851465591675918+0.010173121795217684j),(-0.00152672894831799+0.0007165198571231083j),(-0.00045232674606658993-4.66221628849957e-05j),(0.00018034948566825532-0.0010960077960086956j),(0.0019970279316908457-0.0038628943253753594j),(0.003463141007975235+0.0019796964751871947j),(-0.008244131804500034+0.001719539775442754j),(-0.0010318107153234506+0.002610861013448067j),(0.001235865430193773-0.011585532077638263j),(-0.009719837074903903-0.002500584191848939j)
"(7,)",(-0.012228729795271384-0.0015220003504614853j),(-0.0004523267460665647-4.6622162885015455e-05j),(-0.0013950098389864617-0.0009226897897022168j),(0.004826371014678126-0.005921632531376887j),(0.0035758650296368708+0.010137446600547703j),(0.001997027931690861-0.00386289432537531j),(-0.0010318107153234506+0.002610861013448067j),(-0.008053375118797244+0.0015601377814156412j),(-0.0010403163057739807+0.002608228781290041j),(-0.004486181514943291-0.01201988083814588j)
"(8,)",(-5.914573850470031e-05-0.01484534811382913j),(0.00018034948566828486-0.001096007796008734j),(0.0048263710146782025-0.005921632531376865j),(0.003575865029636882+0.010137446600547705j),(0.004826371014678051-0.005921632531376917j),(0.0001803494856682252-0.0010960077960087123j),(0.001235865430193773-0.011585532077638263j),(-0.0010403163057739807+0.002608228781290041j),(-0.008053375118797255+0.0015601377814156404j),(-0.0010403163057739972+0.002608228781290035j)
"(9,)",(0.02260396465964329+0.0011195921586126091j),(0.001997027931690768-0.0038628943253753165j),(0.0035758650296368604+0.010137446600547698j),(0.004826371014678279-0.005921632531376774j),(-0.0013950098389864203-0.0009226897897022975j),(-0.0004523267460666181-4.6622162885043895e-05j),(-0.009719837074903903-0.002500584191848939j),(-0.004486181514943291-0.01201988083814588j),(-0.0010403163057739972+0.002608228781290035j),(-0.008053375118797255+0.001560137781415642j)
